height,forearm,hand,head
167.64,27,13,59
160.02,25.2,21.5,57.2
163,22,17,54
190,29,18,61
158.5,26.1,19.2,55.3
177.8,28,20,57.25
178,30,22,58
185.928,27.5,21,59
190.5,28,22.5,60
167.64,28,20,53
172.72,28,24,60
167.64,30,20,60
177.8,26,22,62
175,27,22,61
172.72,25,12,60
165.1,28.5,17.5,57.5
175.26,27,24,63
140,24.5,17,60
180.34,29,22,60
165,37,20,52
155,24.5,18,56
160,24,20,58.5
186,24.5,18.5,58.5
180,33.5,20.32,58
180,33.52,20.32,58.32
160,22,17.78,54
162.56,24,17,NA
